nuts_name,nuts_code,unit_of_assessment_name,4*_fte,3*_fte,2*_fte,1*_fte,unclassified_fte,total_fte
Bedfordshire and Hertfordshire,UKH2,"Psychology, Psychiatry and Neuroscience",0.61,6.1,5.002,0.488,0.0,12.2
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,"Psychology, Psychiatry and Neuroscience",79.48349999999999,52.754999999999995,19.3735,1.1364999999999998,0.40149999999999997,153.15
Cheshire,UKD6,"Psychology, Psychiatry and Neuroscience",1.2060000000000002,3.752,5.7620000000000005,2.68,0.0,13.4
Derbyshire and Nottinghamshire,UKF1,"Psychology, Psychiatry and Neuroscience",27.106,36.308,23.434000000000005,2.334,0.218,89.40000000000002
Devon,UKK4,"Psychology, Psychiatry and Neuroscience",18.742,34.277,9.758,0.32299999999999995,0.0,63.1
Dorset and Somerset,UKK2,"Psychology, Psychiatry and Neuroscience",0.91,6.24,4.81,1.04,0.0,13.0
East Anglia,UKH1,"Psychology, Psychiatry and Neuroscience",47.995000000000005,33.6545,7.900499999999999,0.0,0.0,89.55
East Wales,UKL2,"Psychology, Psychiatry and Neuroscience",41.692,23.407600000000002,10.1524,3.478,0.0,78.73
East Yorkshire and Northern Lincolnshire,UKE1,"Psychology, Psychiatry and Neuroscience",2.8340000000000005,12.426000000000002,6.322,0.0,0.218,21.8
Eastern Scotland,UKM7,"Psychology, Psychiatry and Neuroscience",85.933,80.3533,33.380100000000006,2.8286,0.275,202.77
Essex,UKH3,"Psychology, Psychiatry and Neuroscience",9.359,16.665,6.210000000000001,2.4659999999999997,0.0,34.7
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,"Psychology, Psychiatry and Neuroscience",29.5883,25.4597,12.3858,0.6881,0.6881,68.81000000000002
Greater Manchester,UKD3,"Psychology, Psychiatry and Neuroscience",28.593,29.029,13.017,2.255,0.106,72.99999999999999
Hampshire and Isle of Wight,UKJ3,"Psychology, Psychiatry and Neuroscience",18.293000000000003,23.810000000000002,14.202,5.096,0.19899999999999998,61.60000000000001
"Herefordshire, Worcestershire and Warwickshire",UKG1,"Psychology, Psychiatry and Neuroscience",0.20800000000000002,3.432,3.536,2.704,0.52,10.4
Inner London - East,UKI4,"Psychology, Psychiatry and Neuroscience",15.674,42.31999999999999,24.366,2.114,1.226,85.69999999999999
Inner London - West,UKI3,"Psychology, Psychiatry and Neuroscience",300.9376,230.27990000000003,81.0049,9.6881,3.1495,625.06
Kent,UKJ4,"Psychology, Psychiatry and Neuroscience",7.6199,17.890200000000004,6.626,0.6626000000000001,0.33130000000000004,33.13
Lancashire,UKD4,"Psychology, Psychiatry and Neuroscience",10.411,20.912,18.035999999999998,1.924,0.217,51.49999999999999
"Leicestershire, Rutland and Northamptonshire",UKF2,"Psychology, Psychiatry and Neuroscience",7.568,21.991999999999997,7.776,2.904,2.16,42.39999999999999
Lincolnshire,UKF3,"Psychology, Psychiatry and Neuroscience",1.6640000000000001,2.8160000000000003,7.04,1.024,0.256,12.8
Merseyside,UKD7,"Psychology, Psychiatry and Neuroscience",13.396,20.715,16.829,2.56,0.0,53.50000000000001
North Eastern Scotland,UKM5,"Psychology, Psychiatry and Neuroscience",5.974000000000001,13.39,1.236,0.0,0.0,20.6
North Yorkshire,UKE2,"Psychology, Psychiatry and Neuroscience",13.348999999999998,12.956,2.6950000000000003,0.8,0.1,29.900000000000002
Northern Ireland,UKN0,"Psychology, Psychiatry and Neuroscience",9.334,20.752,15.025,1.569,0.22,46.9
Northumberland and Tyne and Wear,UKC2,"Psychology, Psychiatry and Neuroscience",30.5518,24.9378,13.5236,1.6738000000000002,0.193,70.88
Outer London - East and North East,UKI5,"Psychology, Psychiatry and Neuroscience",0.92,2.645,7.245,0.115,0.575,11.5
Outer London - South,UKI6,"Psychology, Psychiatry and Neuroscience",0.4,3.9,4.7,1.0,0.0,10.0
Outer London - West and North West,UKI7,"Psychology, Psychiatry and Neuroscience",5.044,15.888,12.531,2.237,0.0,35.7
Shropshire and Staffordshire,UKG2,"Psychology, Psychiatry and Neuroscience",3.12,7.938,14.295,2.533,0.41400000000000003,28.300000000000004
South Yorkshire,UKE3,"Psychology, Psychiatry and Neuroscience",13.435500000000001,14.469000000000001,6.2010000000000005,0.34450000000000003,0.0,34.45
"Surrey, East and West Sussex",UKJ2,"Psychology, Psychiatry and Neuroscience",34.287499999999994,41.068999999999996,13.5535,1.54,0.2,90.64999999999999
Tees Valley and Durham,UKC1,"Psychology, Psychiatry and Neuroscience",7.162999999999999,11.856,5.434,0.0,0.247,24.7
West Central Scotland,UKM8,"Psychology, Psychiatry and Neuroscience",17.088,17.85,10.56,0.36,0.342,46.2
West Midlands,UKG3,"Psychology, Psychiatry and Neuroscience",31.677999999999997,31.992999999999995,12.959,1.47,0.6,78.69999999999999
West Wales and The Valleys,UKL1,"Psychology, Psychiatry and Neuroscience",15.336,15.816000000000003,11.508,2.204,0.736,45.599999999999994
West Yorkshire,UKE4,"Psychology, Psychiatry and Neuroscience",12.1335,28.346999999999998,12.729,2.8405,0.0,56.05
Bedfordshire and Hertfordshire,UKH2,English Language and Literature,4.85,6.41,4.54,1.04,0.16,17.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,English Language and Literature,50.5818,68.9868,25.446399999999997,0.9750000000000001,0.0,145.98999999999998
Cheshire,UKD6,English Language and Literature,1.1,3.41,4.18,2.31,0.0,11.0
