year,nuts_id,nuts_year_spec,aps_econ_active_stem_profs_data
2010,UKC11,2010,4500.0
2011,UKC11,2010,4600.0
2012,UKC11,2010,4900.0
2013,UKC11,2013,5000.0
2014,UKC11,2013,3700.0
2015,UKC11,2013,5400.0
2016,UKC11,2016,5600.0
2017,UKC11,2016,5200.0
2018,UKC11,2016,6200.0
2019,UKC11,2016,5400.0
2010,UKC12,2010,3700.0
2011,UKC12,2010,4200.0
2012,UKC12,2010,4600.0
2013,UKC12,2013,5400.0
2014,UKC12,2013,4300.0
2015,UKC12,2013,3700.0
2016,UKC12,2016,5200.0
2017,UKC12,2016,5000.0
2018,UKC12,2016,3900.0
2019,UKC12,2016,2900.0
2010,UKC13,2010,2600.0
2011,UKC13,2010,1900.0
2012,UKC13,2010,1900.0
2013,UKC13,2013,2300.0
2014,UKC13,2013,2600.0
2015,UKC13,2013,1900.0
2016,UKC13,2016,2500.0
2017,UKC13,2016,1900.0
2018,UKC13,2016,2100.0
2019,UKC13,2016,2000.0
2010,UKC14,2010,6000.0
2011,UKC14,2010,7700.0
2012,UKC14,2010,6500.0
2013,UKC14,2013,6800.0
2014,UKC14,2013,9900.0
2015,UKC14,2013,10900.0
2016,UKC14,2016,12100.0
2017,UKC14,2016,9400.0
2018,UKC14,2016,7900.0
2019,UKC14,2016,8600.0
2010,UKC21,2010,6100.0
2011,UKC21,2010,4200.0
2012,UKC21,2010,3400.0
2013,UKC21,2013,4300.0
2014,UKC21,2013,6600.0
2015,UKC21,2013,7400.0
2016,UKC21,2016,6400.0
2017,UKC21,2016,6200.0
2018,UKC21,2016,5800.0
2019,UKC21,2016,8900.0
2010,UKC22,2010,15700.0
2011,UKC22,2010,17100.0
2012,UKC22,2010,15800.0
2013,UKC22,2013,16300.0
2014,UKC22,2013,17100.0
2015,UKC22,2013,15400.0
2016,UKC22,2016,18300.0
2017,UKC22,2016,21400.0
2018,UKC22,2016,22300.0
2019,UKC22,2016,28600.0
2010,UKC23,2010,2100.0
2011,UKC23,2010,3200.0
2012,UKC23,2010,3500.0
2013,UKC23,2013,2800.0
2014,UKC23,2013,2900.0
2015,UKC23,2013,2700.0
2016,UKC23,2016,3200.0
2017,UKC23,2016,3000.0
2018,UKC23,2016,2900.0
2019,UKC23,2016,4900.0
2010,UKD11,2010,4500.0
2011,UKD11,2010,4800.0
2012,UKD11,2010,4900.0
2013,UKD11,2013,4200.0
2014,UKD11,2013,4800.0
2015,UKD11,2013,5100.0
2016,UKD11,2016,7400.0
2017,UKD11,2016,6500.0
2018,UKD11,2016,5100.0
2019,UKD11,2016,6000.0
2010,UKD12,2010,6000.0
2011,UKD12,2010,3600.0
2012,UKD12,2010,3400.0
2013,UKD12,2013,5200.0
2014,UKD12,2013,3500.0
2015,UKD12,2013,3200.0
2016,UKD12,2016,2700.0
2017,UKD12,2016,4000.0
2018,UKD12,2016,5000.0
2019,UKD12,2016,3300.0
2010,UKD31,2010,33400.0
2011,UKD31,2010,31200.0
2012,UKD31,2010,35000.0
2010,UKD32,2010,18900.0
2011,UKD32,2010,19100.0
2012,UKD32,2010,21400.0
2013,UKD33,2013,12400.0
2014,UKD33,2013,11300.0
2015,UKD33,2013,13900.0
2016,UKD33,2016,11300.0
2017,UKD33,2016,11000.0
2018,UKD33,2016,20100.0
2019,UKD33,2016,19300.0
2013,UKD34,2013,12000.0
2014,UKD34,2013,13700.0
2015,UKD34,2013,17200.0
2016,UKD34,2016,15300.0
2017,UKD34,2016,14800.0
2018,UKD34,2016,12200.0
2019,UKD34,2016,16100.0
2013,UKD35,2013,12500.0
2014,UKD35,2013,14200.0
