year,lep_id,lep_year_spec,aps_nvq4_education_data
2010,E37000001,2020,23.8
2011,E37000001,2020,25.1
2012,E37000001,2020,26.8
2013,E37000001,2020,26.4
2014,E37000001,2020,27.8
2015,E37000001,2020,26.5
2016,E37000001,2020,28.5
2017,E37000001,2020,29.6
2018,E37000001,2020,29.1
2019,E37000001,2020,28.7
2010,E37000003,2020,39.7
2011,E37000003,2020,40.6
2012,E37000003,2020,39.4
2013,E37000003,2020,43.3
2014,E37000003,2020,42.8
2015,E37000003,2020,44.6
2016,E37000003,2020,44.7
2017,E37000003,2020,49.6
2018,E37000003,2020,48.0
2019,E37000003,2020,47.1
2010,E37000005,2020,29.6
2011,E37000005,2020,33.5
2012,E37000005,2020,34.5
2013,E37000005,2020,35.4
2014,E37000005,2020,36.1
2015,E37000005,2020,33.2
2016,E37000005,2020,36.3
2017,E37000005,2020,37.0
2018,E37000005,2020,38.3
2019,E37000005,2020,39.2
2010,E37000006,2020,35.3
2011,E37000006,2020,34.3
2012,E37000006,2020,37.6
2013,E37000006,2020,39.1
2014,E37000006,2020,39.4
2015,E37000006,2020,42.3
2016,E37000006,2020,39.6
2017,E37000006,2020,40.9
2018,E37000006,2020,41.6
2019,E37000006,2020,44.7
2010,E37000007,2020,34.6
2011,E37000007,2020,29.3
2012,E37000007,2020,34.6
2013,E37000007,2020,35.0
2014,E37000007,2020,32.8
2015,E37000007,2020,33.9
2016,E37000007,2020,34.6
2017,E37000007,2020,34.4
2018,E37000007,2020,34.8
2019,E37000007,2020,35.4
2010,E37000009,2020,33.8
2011,E37000009,2020,33.1
2012,E37000009,2020,35.9
2013,E37000009,2020,37.9
2014,E37000009,2020,38.6
2015,E37000009,2020,38.6
2016,E37000009,2020,39.2
2017,E37000009,2020,37.2
2018,E37000009,2020,38.5
2019,E37000009,2020,40.7
2010,E37000011,2020,42.4
2011,E37000011,2020,42.8
2012,E37000011,2020,40.5
2013,E37000011,2020,38.5
2014,E37000011,2020,43.8
2015,E37000011,2020,44.5
2016,E37000011,2020,40.7
2017,E37000011,2020,42.5
2018,E37000011,2020,43.1
2019,E37000011,2020,46.0
2010,E37000012,2020,31.5
2011,E37000012,2020,30.5
2012,E37000012,2020,33.3
2013,E37000012,2020,33.1
2014,E37000012,2020,34.7
2015,E37000012,2020,38.7
2016,E37000012,2020,38.7
2017,E37000012,2020,35.9
2018,E37000012,2020,39.4
2019,E37000012,2020,40.8
2010,E37000014,2020,27.5
2011,E37000014,2020,25.0
2012,E37000014,2020,28.2
2013,E37000014,2020,28.9
2014,E37000014,2020,27.8
2015,E37000014,2020,30.9
2016,E37000014,2020,31.1
2017,E37000014,2020,30.9
2018,E37000014,2020,31.7
2019,E37000014,2020,32.7
2010,E37000015,2020,34.4
2011,E37000015,2020,34.7
2012,E37000015,2020,36.5
2013,E37000015,2020,37.3
2014,E37000015,2020,37.7
2015,E37000015,2020,39.0
2016,E37000015,2020,40.9
2017,E37000015,2020,40.6
2018,E37000015,2020,41.2
2019,E37000015,2020,42.5
2010,E37000016,2020,34.5
2011,E37000016,2020,33.6
2012,E37000016,2020,35.0
2013,E37000016,2020,34.1
2014,E37000016,2020,36.7
2015,E37000016,2020,39.9
2016,E37000016,2020,39.3
2017,E37000016,2020,39.8
2018,E37000016,2020,39.1
2019,E37000016,2020,39.5
2010,E37000019,2020,34.5
2011,E37000019,2020,30.7
2012,E37000019,2020,35.4
2013,E37000019,2020,33.3
2014,E37000019,2020,33.1
2015,E37000019,2020,35.2
2016,E37000019,2020,37.3
2017,E37000019,2020,36.2
2018,E37000019,2020,39.7
2019,E37000019,2020,38.4
2010,E37000021,2020,31.9
2011,E37000021,2020,32.6
2012,E37000021,2020,32.8
2013,E37000021,2020,36.0
2014,E37000021,2020,36.3
2015,E37000021,2020,37.6
2016,E37000021,2020,36.6
2017,E37000021,2020,37.7
2018,E37000021,2020,40.3
2019,E37000021,2020,42.2
2010,E37000022,2020,29.5
2011,E37000022,2020,30.1
2012,E37000022,2020,30.7
2013,E37000022,2020,32.7
2014,E37000022,2020,33.1
2015,E37000022,2020,34.3
2016,E37000022,2020,37.2
2017,E37000022,2020,36.9
2018,E37000022,2020,38.6
2019,E37000022,2020,41.0
2010,E37000025,2020,31.2
2011,E37000025,2020,31.7
2012,E37000025,2020,32.0
2013,E37000025,2020,32.8
2014,E37000025,2020,33.0
2015,E37000025,2020,35.3
2016,E37000025,2020,36.6
2017,E37000025,2020,37.6
2018,E37000025,2020,36.3
2019,E37000025,2020,38.2
2010,E37000032,2020,30.5
2011,E37000032,2020,27.8
2012,E37000032,2020,29.3
2013,E37000032,2020,30.5
