year,nuts_id,nuts_year_spec,net_migration_rate_internal
2009,UKH2,2016,1.77
2010,UKH2,2016,2.83
2011,UKH2,2016,2.56
2012,UKH2,2016,3.86
2013,UKH2,2016,2.87
2014,UKH2,2016,2.34
2015,UKH2,2016,1.67
2016,UKH2,2016,-2.76
2017,UKH2,2016,-1.63
2018,UKH2,2016,-0.19
2009,UKJ1,2016,-1.45
2010,UKJ1,2016,-1.41
2011,UKJ1,2016,-0.72
2012,UKJ1,2016,-0.14
2013,UKJ1,2016,-2.23
2014,UKJ1,2016,-4.11
2015,UKJ1,2016,-5.47
2016,UKJ1,2016,-4.66
2017,UKJ1,2016,-2.97
2018,UKJ1,2016,-3.56
2009,UKD6,2016,2.22
2010,UKD6,2016,2.53
2011,UKD6,2016,2.11
2012,UKD6,2016,1.49
2013,UKD6,2016,3.4
2014,UKD6,2016,2.66
2015,UKD6,2016,2.66
2016,UKD6,2016,4.32
2017,UKD6,2016,4.78
2018,UKD6,2016,6.97
2009,UKK3,2016,8.18
2010,UKK3,2016,7.93
2011,UKK3,2016,6.97
2012,UKK3,2016,5.7
2013,UKK3,2016,6.99
2014,UKK3,2016,8.19
2015,UKK3,2016,8.8
2016,UKK3,2016,12.63
2017,UKK3,2016,9.6
2018,UKK3,2016,9.7
2009,UKD1,2016,1.5
2010,UKD1,2016,-0.99
2011,UKD1,2016,-0.33
2012,UKD1,2016,0.34
2013,UKD1,2016,0.88
2014,UKD1,2016,1.67
2015,UKD1,2016,1.4
2016,UKD1,2016,4.47
2017,UKD1,2016,4.77
2018,UKD1,2016,5.12
2009,UKF1,2016,1.32
2010,UKF1,2016,0.62
2011,UKF1,2016,0.9
2012,UKF1,2016,2.81
2013,UKF1,2016,1.78
2014,UKF1,2016,2.09
2015,UKF1,2016,2.39
2016,UKF1,2016,4.16
2017,UKF1,2016,4.63
2018,UKF1,2016,4.6
2009,UKK4,2016,0.36
2010,UKK4,2016,1.22
2011,UKK4,2016,1.62
2012,UKK4,2016,0.76
2013,UKK4,2016,1.68
2014,UKK4,2016,1.22
2015,UKK4,2016,1.26
2016,UKK4,2016,3.63
2017,UKK4,2016,3.7
2018,UKK4,2016,1.82
2009,UKK2,2016,4.19
2010,UKK2,2016,5.03
2011,UKK2,2016,4.13
2012,UKK2,2016,5.79
2013,UKK2,2016,6.4
2014,UKK2,2016,6.62
2015,UKK2,2016,7.27
2016,UKK2,2016,3.8
2017,UKK2,2016,7.44
2018,UKK2,2016,5.09
2009,UKH1,2016,1.02
2010,UKH1,2016,1.04
2011,UKH1,2016,0.66
2012,UKH1,2016,0.18
2013,UKH1,2016,0.46
2014,UKH1,2016,1.54
2015,UKH1,2016,1.21
2016,UKH1,2016,2.32
2017,UKH1,2016,1.07
2018,UKH1,2016,1.3
2009,UKL2,2016,0.7
2010,UKL2,2016,1.45
2011,UKL2,2016,1.2
2012,UKL2,2016,-0.33
2013,UKL2,2016,-0.2
2014,UKL2,2016,0.07
2015,UKL2,2016,-0.24
2016,UKL2,2016,2.11
2017,UKL2,2016,1.63
2018,UKL2,2016,1.51
2009,UKE1,2016,-1.46
2010,UKE1,2016,-1.17
2011,UKE1,2016,0.07
2012,UKE1,2016,-1.27
2013,UKE1,2016,-0.35
2014,UKE1,2016,-1.47
2015,UKE1,2016,0.94
2016,UKE1,2016,0.6
2017,UKE1,2016,1.38
2018,UKE1,2016,1.34
2009,UKM7,2016,1.57
2010,UKM7,2016,1.24
2011,UKM7,2016,0.91
2012,UKM7,2016,1.64
2013,UKM7,2016,1.83
2014,UKM7,2016,1.98
2015,UKM7,2016,2.17
2016,UKM7,2016,2.54
2017,UKM7,2016,2.08
2018,UKM7,2016,1.98
2009,UKH3,2016,2.56
2010,UKH3,2016,2.65
2011,UKH3,2016,3.22
2012,UKH3,2016,3.05
2013,UKH3,2016,5.34
2014,UKH3,2016,2.09
2015,UKH3,2016,2.9
2016,UKH3,2016,2.92
2017,UKH3,2016,2.68
2018,UKH3,2016,3.5
2009,UKK1,2016,2.76
2010,UKK1,2016,2.32
2011,UKK1,2016,2.05
2012,UKK1,2016,3.24
2013,UKK1,2016,4.25
2014,UKK1,2016,4.46
2015,UKK1,2016,4.07
2016,UKK1,2016,4.35
2017,UKK1,2016,2.82
2018,UKK1,2016,3.45
2009,UKD3,2016,-1.97
2010,UKD3,2016,-1.64
2011,UKD3,2016,-2.2
2012,UKD3,2016,-2.56
2013,UKD3,2016,-2.07
2014,UKD3,2016,-0.65
2015,UKD3,2016,-0.49
2016,UKD3,2016,-1.16
2017,UKD3,2016,-2.18
2018,UKD3,2016,-1.55
2009,UKJ3,2016,3.45
2010,UKJ3,2016,2.7
2011,UKJ3,2016,2.92
2012,UKJ3,2016,1.08
2013,UKJ3,2016,1.34
2014,UKJ3,2016,1.44
2015,UKJ3,2016,1.36
2016,UKJ3,2016,1.3
2017,UKJ3,2016,0.51
2018,UKJ3,2016,-0.16
2009,UKG1,2016,1.78
2010,UKG1,2016,2.47
2011,UKG1,2016,1.54
2012,UKG1,2016,2.47
2013,UKG1,2016,2.93
2014,UKG1,2016,3.01
2015,UKG1,2016,4.05
2016,UKG1,2016,7.64
2017,UKG1,2016,7.75
2018,UKG1,2016,8.04
2009,UKM6,2016,2.57
2010,UKM6,2016,1.77
2011,UKM6,2016,1.42
2012,UKM6,2016,2.14
2013,UKM6,2016,1.59
2014,UKM6,2016,2.9
2015,UKM6,2016,3.38
2016,UKM6,2016,2.8
2017,UKM6,2016,3.33
2018,UKM6,2016,2.91
2009,UKI4,2016,-10.16
2010,UKI4,2016,-7.67
2011,UKI4,2016,-8.83
2012,UKI4,2016,-9.01
2013,UKI4,2016,-9.5
2014,UKI4,2016,-9.49
2015,UKI4,2016,-10.94
2016,UKI4,2016,-12.56
2017,UKI4,2016,-12.28
2018,UKI4,2016,-11.54
2009,UKI3,2016,-3.01
2010,UKI3,2016,-6.58
2011,UKI3,2016,-10.02
2012,UKI3,2016,-12.66
2013,UKI3,2016,-12.03
2014,UKI3,2016,-11.86
2015,UKI3,2016,-16.12
2016,UKI3,2016,-11.57
2017,UKI3,2016,-9.72
2018,UKI3,2016,-8.53
2009,UKJ4,2016,3.35
2010,UKJ4,2016,3.89
2011,UKJ4,2016,4.63
2012,UKJ4,2016,4.11
2013,UKJ4,2016,4.38
2014,UKJ4,2016,3.53
2015,UKJ4,2016,3.11
2016,UKJ4,2016,1.7
2017,UKJ4,2016,2.28
2018,UKJ4,2016,2.69
2009,UKD4,2016,0.07
2010,UKD4,2016,-0.21
2011,UKD4,2016,-0.95
2012,UKD4,2016,-0.46
2013,UKD4,2016,-0.54
2014,UKD4,2016,0.43
2015,UKD4,2016,1.47
2016,UKD4,2016,3.01
2017,UKD4,2016,2.63
2018,UKD4,2016,3.12
2009,UKF2,2016,0.27
2010,UKF2,2016,-0.28
2011,UKF2,2016,0.6
2012,UKF2,2016,-0.3
2013,UKF2,2016,0.76
2014,UKF2,2016,1.79
2015,UKF2,2016,1.87
2016,UKF2,2016,3.34
2017,UKF2,2016,1.79
2018,UKF2,2016,-0.71
2009,UKF3,2016,4.95
2010,UKF3,2016,3.89
2011,UKF3,2016,3.22
2012,UKF3,2016,4.71
2013,UKF3,2016,6.07
2014,UKF3,2016,3.78
2015,UKF3,2016,5.86
2016,UKF3,2016,6.96
2017,UKF3,2016,7.33
2018,UKF3,2016,7.14
2009,UKD7,2016,-1.93
2010,UKD7,2016,-2.4
2011,UKD7,2016,-0.77
2012,UKD7,2016,-1.93
2013,UKD7,2016,-0.82
2014,UKD7,2016,0.99
2015,UKD7,2016,2.03
2016,UKD7,2016,1.81
2017,UKD7,2016,2.06
2018,UKD7,2016,0.35
2009,UKM5,2016,0.89
2010,UKM5,2016,-0.01
2011,UKM5,2016,2.55
2012,UKM5,2016,4.43
2013,UKM5,2016,3.87
