,year,nuts_id,nuts_year_spec,aps_nvq4_education_data
0,2012,UKH2,2016,41.7
1,2013,UKH2,2016,41.4
2,2014,UKH2,2016,43.5
3,2015,UKH2,2016,43.5
4,2016,UKH2,2016,43.8
5,2017,UKH2,2016,43.6
6,2018,UKH2,2016,44.8
7,2012,UKJ1,2016,45.1
8,2013,UKJ1,2016,47.0
9,2014,UKJ1,2016,49.3
10,2015,UKJ1,2016,50.5
11,2016,UKJ1,2016,51.1
12,2017,UKJ1,2016,50.5
13,2018,UKJ1,2016,51.9
14,2012,UKD6,2016,38.8
15,2013,UKD6,2016,42.6
16,2014,UKD6,2016,42.0
17,2015,UKD6,2016,44.2
18,2016,UKD6,2016,44.1
19,2017,UKD6,2016,48.9
20,2018,UKD6,2016,47.4
21,2012,UKK3,2016,34.3
22,2013,UKK3,2016,34.7
23,2014,UKK3,2016,35.6
24,2015,UKK3,2016,32.6
25,2016,UKK3,2016,35.9
26,2017,UKK3,2016,36.6
27,2018,UKK3,2016,37.7
28,2012,UKD1,2016,33.9
29,2013,UKD1,2016,34.2
30,2014,UKD1,2016,32.4
31,2015,UKD1,2016,33.3
32,2016,UKD1,2016,34.2
33,2017,UKD1,2016,33.8
34,2018,UKD1,2016,34.5
35,2012,UKF1,2016,33.2
36,2013,UKF1,2016,33.5
37,2014,UKF1,2016,35.3
38,2015,UKF1,2016,37.9
39,2016,UKF1,2016,36.1
40,2017,UKF1,2016,35.8
41,2018,UKF1,2016,37.8
42,2012,UKK4,2016,35.3
43,2013,UKK4,2016,35.5
44,2014,UKK4,2016,36.8
45,2015,UKK4,2016,39.3
46,2016,UKK4,2016,38.8
47,2017,UKK4,2016,40.1
48,2018,UKK4,2016,39.3
49,2012,UKK2,2016,34.0
50,2013,UKK2,2016,33.7
51,2014,UKK2,2016,36.6
52,2015,UKK2,2016,38.2
53,2016,UKK2,2016,38.5
54,2017,UKK2,2016,36.7
55,2018,UKK2,2016,37.4
56,2012,UKH1,2016,35.7
57,2013,UKH1,2016,36.1
58,2014,UKH1,2016,35.3
59,2015,UKH1,2016,35.9
60,2016,UKH1,2016,37.2
61,2017,UKH1,2016,36.6
62,2018,UKH1,2016,37.7
63,2012,UKL2,2016,39.3
64,2013,UKL2,2016,40.2
65,2014,UKL2,2016,43.1
66,2015,UKL2,2016,43.6
67,2016,UKL2,2016,44.4
68,2017,UKL2,2016,45.5
69,2018,UKL2,2016,45.2
70,2012,UKE1,2016,29.3
71,2013,UKE1,2016,29.0
72,2014,UKE1,2016,30.4
73,2015,UKE1,2016,31.5
74,2016,UKE1,2016,33.8
75,2017,UKE1,2016,32.6
76,2018,UKE1,2016,29.8
77,2012,UKM7,2016,47.0
78,2013,UKM7,2016,46.7
79,2014,UKM7,2016,49.3
80,2015,UKM7,2016,49.9
81,2016,UKM7,2016,52.0
82,2017,UKM7,2016,50.5
83,2018,UKM7,2016,51.6
84,2012,UKH3,2016,29.9
85,2013,UKH3,2016,30.7
86,2014,UKH3,2016,29.3
87,2015,UKH3,2016,31.4
88,2016,UKH3,2016,34.4
89,2017,UKH3,2016,33.2
90,2018,UKH3,2016,33.5
91,2012,UKK1,2016,40.6
92,2013,UKK1,2016,40.0
93,2014,UKK1,2016,42.8
94,2015,UKK1,2016,44.0
95,2016,UKK1,2016,44.7
96,2017,UKK1,2016,47.3
97,2018,UKK1,2016,46.1
98,2012,UKD3,2016,36.1
99,2013,UKD3,2016,36.8
100,2014,UKD3,2016,37.2
101,2015,UKD3,2016,38.6
102,2016,UKD3,2016,40.5
103,2017,UKD3,2016,40.2
104,2018,UKD3,2016,40.8
105,2012,UKJ3,2016,38.3
106,2013,UKJ3,2016,38.2
107,2014,UKJ3,2016,40.4
108,2015,UKJ3,2016,37.0
109,2016,UKJ3,2016,39.3
110,2017,UKJ3,2016,39.5
111,2018,UKJ3,2016,39.9
112,2012,UKG1,2016,37.4
113,2013,UKG1,2016,38.9
114,2014,UKG1,2016,39.0
115,2015,UKG1,2016,42.1
116,2016,UKG1,2016,41.1
117,2017,UKG1,2016,40.5
118,2018,UKG1,2016,40.2
119,2012,UKM6,2016,36.1
120,2013,UKM6,2016,38.5
121,2014,UKM6,2016,38.8
122,2015,UKM6,2016,39.9
123,2016,UKM6,2016,43.1
124,2017,UKM6,2016,42.5
125,2018,UKM6,2016,44.2
126,2012,UKI4,2016,61.3
127,2013,UKI4,2016,61.1
128,2014,UKI4,2016,59.8
129,2015,UKI4,2016,61.1
130,2016,UKI4,2016,63.0
131,2017,UKI4,2016,63.6
132,2018,UKI4,2016,65.9
133,2012,UKI3,2016,71.1
134,2013,UKI3,2016,70.5
135,2014,UKI3,2016,74.1
136,2015,UKI3,2016,72.6
137,2016,UKI3,2016,71.8
138,2017,UKI3,2016,73.5
139,2018,UKI3,2016,74.8
140,2012,UKJ4,2016,31.3
141,2013,UKJ4,2016,35.5
142,2014,UKJ4,2016,35.4
143,2015,UKJ4,2016,36.5
144,2016,UKJ4,2016,39.5
145,2017,UKJ4,2016,36.1
146,2018,UKJ4,2016,37.6
147,2012,UKD4,2016,34.9
148,2013,UKD4,2016,32.8
149,2014,UKD4,2016,32.7
150,2015,UKD4,2016,34.6
151,2016,UKD4,2016,36.8
152,2017,UKD4,2016,35.6
153,2018,UKD4,2016,39.1
154,2012,UKF2,2016,31.9
155,2013,UKF2,2016,34.6
156,2014,UKF2,2016,35.1
157,2015,UKF2,2016,35.2
158,2016,UKF2,2016,35.6
159,2017,UKF2,2016,37.6
160,2018,UKF2,2016,38.5
161,2012,UKF3,2016,28.8
162,2013,UKF3,2016,29.9
163,2014,UKF3,2016,28.3
164,2015,UKF3,2016,30.9
165,2016,UKF3,2016,31.1
166,2017,UKF3,2016,31.7
167,2018,UKF3,2016,33.1
168,2012,UKD7,2016,30.3
169,2013,UKD7,2016,32.3
170,2014,UKD7,2016,32.7
171,2015,UKD7,2016,34.0
172,2016,UKD7,2016,36.8
173,2017,UKD7,2016,36.5
174,2018,UKD7,2016,38.2
175,2012,UKM5,2016,41.9
176,2013,UKM5,2016,43.5
177,2014,UKM5,2016,47.4
178,2015,UKM5,2016,49.7
179,2016,UKM5,2016,50.0
180,2017,UKM5,2016,48.9
181,2018,UKM5,2016,48.8
182,2012,UKE2,2016,40.6
183,2013,UKE2,2016,42.3
184,2014,UKE2,2016,40.8
185,2015,UKE2,2016,41.1
186,2016,UKE2,2016,40.2
187,2017,UKE2,2016,41.8
188,2018,UKE2,2016,45.2
189,2012,UKC2,2016,32.5
190,2013,UKC2,2016,33.8
191,2014,UKC2,2016,33.1
192,2015,UKC2,2016,35.3
193,2016,UKC2,2016,36.2
194,2017,UKC2,2016,37.9
195,2018,UKC2,2016,36.9
196,2012,UKI5,2016,39.9
197,2013,UKI5,2016,43.2
198,2014,UKI5,2016,43.8
199,2015,UKI5,2016,44.5
200,2016,UKI5,2016,45.9
201,2017,UKI5,2016,46.0
202,2018,UKI5,2016,48.9
203,2012,UKI6,2016,48.0
204,2013,UKI6,2016,51.4
205,2014,UKI6,2016,51.1
206,2015,UKI6,2016,51.6
207,2016,UKI6,2016,55.8
208,2017,UKI6,2016,54.7
209,2018,UKI6,2016,55.9
210,2012,UKI7,2016,51.6
211,2013,UKI7,2016,53.4
212,2014,UKI7,2016,54.5
213,2015,UKI7,2016,55.1
214,2016,UKI7,2016,58.0
215,2017,UKI7,2016,54.5
216,2018,UKI7,2016,56.5
217,2012,UKG2,2016,29.5
218,2013,UKG2,2016,30.9
219,2014,UKG2,2016,31.4
220,2015,UKG2,2016,33.0
221,2016,UKG2,2016,33.3
