year,nuts_id,nuts_year_spec,aps_econ_active_stem_profs_data
2012,UKH2,2016,60900
2013,UKH2,2016,59800
2014,UKH2,2016,60300
2015,UKH2,2016,54300
2016,UKH2,2016,63100
2017,UKH2,2016,57300
2018,UKH2,2016,54700
2012,UKJ1,2016,98800
2013,UKJ1,2016,99700
2014,UKJ1,2016,113400
2015,UKJ1,2016,119600
2016,UKJ1,2016,123200
2017,UKJ1,2016,102000
2018,UKJ1,2016,112900
2012,UKD6,2016,32100
2013,UKD6,2016,31100
2014,UKD6,2016,32300
2015,UKD6,2016,27500
2016,UKD6,2016,26000
2017,UKD6,2016,28700
2018,UKD6,2016,31600
2012,UKK3,2016,3500
2013,UKK3,2016,6400
2014,UKK3,2016,10200
2015,UKK3,2016,6500
2016,UKK3,2016,10200
2017,UKK3,2016,6800
2018,UKK3,2016,11500
2012,UKD1,2016,8300
2013,UKD1,2016,9400
2014,UKD1,2016,8300
2015,UKD1,2016,8300
2016,UKD1,2016,10100
2017,UKD1,2016,10400
2018,UKD1,2016,10100
2012,UKF1,2016,37200
2013,UKF1,2016,47000
2014,UKF1,2016,48700
2015,UKF1,2016,64400
2016,UKF1,2016,50600
2017,UKF1,2016,50100
2018,UKF1,2016,50400
2012,UKK4,2016,19300
2013,UKK4,2016,18200
2014,UKK4,2016,25300
2015,UKK4,2016,27700
2016,UKK4,2016,19700
2017,UKK4,2016,20900
2018,UKK4,2016,23400
2012,UKK2,2016,33300
2013,UKK2,2016,25800
2014,UKK2,2016,26300
2015,UKK2,2016,27600
2016,UKK2,2016,25700
2017,UKK2,2016,26700
2018,UKK2,2016,31900
2012,UKH1,2016,68800
2013,UKH1,2016,67100
2014,UKH1,2016,67700
2015,UKH1,2016,72600
2016,UKH1,2016,80300
2017,UKH1,2016,70000
2018,UKH1,2016,82300
2012,UKL2,2016,23300
2013,UKL2,2016,25700
2014,UKL2,2016,22700
2015,UKL2,2016,21800
2016,UKL2,2016,29600
2017,UKL2,2016,29200
2018,UKL2,2016,32800
2012,UKE1,2016,13200
2013,UKE1,2016,14500
2014,UKE1,2016,12800
2015,UKE1,2016,14700
2016,UKE1,2016,15800
2017,UKE1,2016,14800
2018,UKE1,2016,16700
2012,UKM7,2016,54300
2013,UKM7,2016,52000
2014,UKM7,2016,54300
2015,UKM7,2016,59100
2016,UKM7,2016,66100
2017,UKM7,2016,67900
2018,UKM7,2016,61700
2012,UKH3,2016,36600
2013,UKH3,2016,43900
2014,UKH3,2016,38400
2015,UKH3,2016,42500
2016,UKH3,2016,41000
2017,UKH3,2016,39400
2018,UKH3,2016,40900
2012,UKK1,2016,75700
2013,UKK1,2016,75500
2014,UKK1,2016,92000
2015,UKK1,2016,84300
2016,UKK1,2016,85000
2017,UKK1,2016,91600
2018,UKK1,2016,80200
2012,UKD3,2016,56400
2013,UKD3,2016,56100
2014,UKD3,2016,59400
2015,UKD3,2016,65100
2016,UKD3,2016,62800
2017,UKD3,2016,59200
2018,UKD3,2016,65400
2012,UKJ3,2016,63900
2013,UKJ3,2016,58500
2014,UKJ3,2016,62300
2015,UKJ3,2016,66200
2016,UKJ3,2016,63700
2017,UKJ3,2016,64100
2018,UKJ3,2016,63500
2012,UKG1,2016,32300
2013,UKG1,2016,35200
2014,UKG1,2016,41600
2015,UKG1,2016,40300
2016,UKG1,2016,42000
2017,UKG1,2016,39100
2018,UKG1,2016,37700
2012,UKM6,2016,8200
2013,UKM6,2016,7900
2014,UKM6,2016,6000
2015,UKM6,2016,7700
2016,UKM6,2016,6800
2017,UKM6,2016,8700
2018,UKM6,2016,6400
2012,UKI4,2016,61500
2013,UKI4,2016,70000
2014,UKI4,2016,80800
2015,UKI4,2016,76600
2016,UKI4,2016,77500
2017,UKI4,2016,86900
2018,UKI4,2016,98200
2012,UKI3,2016,28900
2013,UKI3,2016,31600
2014,UKI3,2016,31800
2015,UKI3,2016,33900
2016,UKI3,2016,40400
2017,UKI3,2016,41100
2018,UKI3,2016,43700
2012,UKJ4,2016,34500
2013,UKJ4,2016,28600
2014,UKJ4,2016,37800
2015,UKJ4,2016,41500
2016,UKJ4,2016,33800
2017,UKJ4,2016,37700
2018,UKJ4,2016,44800
2012,UKD4,2016,29700
2013,UKD4,2016,30000
2014,UKD4,2016,27600
2015,UKD4,2016,26400
2016,UKD4,2016,26000
2017,UKD4,2016,27800
2018,UKD4,2016,33200
2012,UKF2,2016,36300
2013,UKF2,2016,42100
2014,UKF2,2016,42900
2015,UKF2,2016,45100
2016,UKF2,2016,44000
2017,UKF2,2016,50600
2018,UKF2,2016,46600
2012,UKF3,2016,15200
2013,UKF3,2016,9500
2014,UKF3,2016,13500
2015,UKF3,2016,12200
2016,UKF3,2016,12600
2017,UKF3,2016,14500
2018,UKF3,2016,11800
2012,UKD7,2016,20800
2013,UKD7,2016,24300
2014,UKD7,2016,27000
2015,UKD7,2016,35700
2016,UKD7,2016,29600
2017,UKD7,2016,29200
2018,UKD7,2016,32000
2012,UKM5,2016,18600
2013,UKM5,2016,20900
2014,UKM5,2016,22300
2015,UKM5,2016,23600
2016,UKM5,2016,23500
2017,UKM5,2016,23500
2018,UKM5,2016,25700
2012,UKE2,2016,18100
2013,UKE2,2016,19600
2014,UKE2,2016,15800
2015,UKE2,2016,17500
2016,UKE2,2016,19200
2017,UKE2,2016,18800
2018,UKE2,2016,16200
2012,UKC2,2016,22700
2013,UKC2,2016,23300
2014,UKC2,2016,26700
2015,UKC2,2016,25500
2016,UKC2,2016,27900
2017,UKC2,2016,30600
2018,UKC2,2016,31000
2012,UKI5,2016,37800
2013,UKI5,2016,37700
2014,UKI5,2016,38900
2015,UKI5,2016,43700
2016,UKI5,2016,48100
2017,UKI5,2016,47600
2018,UKI5,2016,52000
2012,UKI6,2016,40300
2013,UKI6,2016,43700
2014,UKI6,2016,46300
2015,UKI6,2016,49800
2016,UKI6,2016,53400
2017,UKI6,2016,44600
2018,UKI6,2016,48000
2012,UKI7,2016,72000
2013,UKI7,2016,61800
2014,UKI7,2016,65200
2015,UKI7,2016,70600
2016,UKI7,2016,76600
2017,UKI7,2016,69700
2018,UKI7,2016,80300
2012,UKG2,2016,35200
2013,UKG2,2016,34100
2014,UKG2,2016,29400
2015,UKG2,2016,31100
2016,UKG2,2016,31100
2017,UKG2,2016,33500
2018,UKG2,2016,39900
2012,UKE3,2016,25800
2013,UKE3,2016,26400
2014,UKE3,2016,23300
2015,UKE3,2016,22200
2016,UKE3,2016,23900
2017,UKE3,2016,32800
2018,UKE3,2016,36200
2012,UKM9,2016,12700
2013,UKM9,2016,14600
2014,UKM9,2016,15800
2015,UKM9,2016,16100
2016,UKM9,2016,19100
2017,UKM9,2016,20800
2018,UKM9,2016,16800
2012,UKJ2,2016,87500
2013,UKJ2,2016,84900
2014,UKJ2,2016,79800
2015,UKJ2,2016,87700
2016,UKJ2,2016,103100
2017,UKJ2,2016,105200
2018,UKJ2,2016,103700
2012,UKC1,2016,17900
2013,UKC1,2016,19500
2014,UKC1,2016,20500
2015,UKC1,2016,21900
2016,UKC1,2016,25500
2017,UKC1,2016,21500
2018,UKC1,2016,20100
2012,UKM8,2016,29300
2013,UKM8,2016,31900
2014,UKM8,2016,32200
2015,UKM8,2016,34800
2016,UKM8,2016,39600
2017,UKM8,2016,42100
2018,UKM8,2016,43000
2012,UKG3,2016,38300
2013,UKG3,2016,36000
2014,UKG3,2016,46800
2015,UKG3,2016,51600
2016,UKG3,2016,54200
2017,UKG3,2016,57800
2018,UKG3,2016,67800
2012,UKL1,2016,25000
2013,UKL1,2016,25400
2014,UKL1,2016,26600
2015,UKL1,2016,27000
2016,UKL1,2016,28100
2017,UKL1,2016,31500
2018,UKL1,2016,28600
2012,UKE4,2016,41100
2013,UKE4,2016,44600
2014,UKE4,2016,41700
2015,UKE4,2016,44000
2016,UKE4,2016,51600
2017,UKE4,2016,45300
2018,UKE4,2016,50200
