,year,nuts_id,nuts_year_spec,eurostat_private_non_profit_rd_workforce_datad_pnpberd
0,2012,UKH2,2013,22938000.0
1,2014,UKH2,2013,88699000.0
2,2012,UKJ1,2013,62646000.0
3,2014,UKJ1,2013,11289000.0
4,2013,UKJ1,2013,10008000.0
5,2015,UKJ1,2013,18049000.0
6,2016,UKJ1,2013,17572000.0
7,2012,UKD6,2013,740000.0
8,2014,UKD6,2013,372000.0
9,2015,UKD6,2013,413000.0
10,2016,UKD6,2013,488000.0
11,2012,UKK3,2013,0.0
12,2014,UKK3,2013,0.0
13,2013,UKK3,2013,0.0
14,2015,UKK3,2013,0.0
15,2016,UKK3,2013,0.0
16,2012,UKD1,2013,247000.0
17,2014,UKD1,2013,0.0
18,2015,UKD1,2013,0.0
19,2016,UKD1,2013,0.0
20,2012,UKF1,2013,123000.0
21,2014,UKF1,2013,124000.0
22,2015,UKF1,2013,0.0
23,2016,UKF1,2013,0.0
24,2012,UKK4,2013,11222000.0
25,2014,UKK4,2013,17616000.0
26,2013,UKK4,2013,15660000.0
27,2015,UKK4,2013,21631000.0
28,2016,UKK4,2013,21110000.0
29,2012,UKK2,2013,617000.0
30,2014,UKK2,2013,3846000.0
31,2015,UKK2,2013,3720000.0
32,2016,UKK2,2013,3539000.0
33,2012,UKH1,2013,254779000.0
34,2014,UKH1,2013,254435000.0
35,2013,UKH1,2013,225833000.0
36,2012,UKE1,2013,0.0
37,2014,UKE1,2013,0.0
38,2015,UKE1,2013,0.0
39,2016,UKE1,2013,0.0
40,2012,UKL2,2013,493000.0
41,2014,UKL2,2013,124000.0
42,2012,UKM2,2013,6783000.0
43,2014,UKM2,2013,4962000.0
44,2013,UKM2,2013,4357000.0
45,2015,UKM2,2013,6200000.0
46,2016,UKM2,2013,5979000.0
47,2012,UKH3,2013,0.0
48,2014,UKH3,2013,1613000.0
49,2012,UKK1,2013,1603000.0
50,2014,UKK1,2013,1489000.0
51,2015,UKK1,2013,1240000.0
52,2016,UKK1,2013,1098000.0
53,2012,UKD3,2013,370000.0
54,2014,UKD3,2013,248000.0
55,2015,UKD3,2013,276000.0
56,2016,UKD3,2013,244000.0
57,2012,UKJ3,2013,370000.0
58,2014,UKJ3,2013,744000.0
59,2015,UKJ3,2013,6062000.0
60,2016,UKJ3,2013,5979000.0
61,2012,UKG1,2013,3083000.0
62,2014,UKG1,2013,124000.0
63,2012,UKM6,2013,4316000.0
64,2014,UKM6,2013,5210000.0
65,2015,UKM6,2013,4685000.0
66,2016,UKM6,2013,4637000.0
67,2012,UKI4,2013,12332000.0
68,2014,UKI4,2013,3722000.0
69,2015,UKI4,2013,13089000.0
70,2016,UKI4,2013,12813000.0
71,2012,UKI3,2013,130348999.99999999
72,2014,UKI3,2013,118968000.0
73,2015,UKI3,2013,144255000.0
74,2016,UKI3,2013,140696000.0
75,2012,UKJ4,2013,0.0
76,2014,UKJ4,2013,124000.0
77,2015,UKJ4,2013,0.0
78,2016,UKJ4,2013,0.0
79,2012,UKD4,2013,2713000.0
80,2014,UKD4,2013,124000.0
81,2015,UKD4,2013,0.0
82,2016,UKD4,2013,0.0
83,2012,UKF2,2013,4440000.0
84,2014,UKF2,2013,2853000.0
85,2013,UKF2,2013,2473000.0
86,2015,UKF2,2013,2342000.0
87,2016,UKF2,2013,2197000.0
88,2012,UKF3,2013,0.0
89,2014,UKF3,2013,0.0
90,2015,UKF3,2013,0.0
91,2016,UKF3,2013,0.0
92,2012,UKD7,2013,617000.0
93,2014,UKD7,2013,53343000.0
94,2015,UKD7,2013,413000.0
95,2016,UKD7,2013,366000.0
96,2012,UKM5,2013,0.0
97,2014,UKM5,2013,0.0
98,2013,UKM5,2013,0.0
99,2015,UKM5,2013,0.0
100,2016,UKM5,2013,0.0
101,2012,UKE2,2013,0.0
102,2014,UKE2,2013,124000.0
103,2013,UKE2,2013,118000.0
104,2015,UKE2,2013,0.0
105,2016,UKE2,2013,0.0
106,2012,UKN0,2013,370000.0
107,2014,UKN0,2013,124000.0
108,2012,UKC2,2013,3083000.0
109,2014,UKC2,2013,2481000.0
110,2015,UKC2,2013,1378000.0
111,2016,UKC2,2013,1342000.0
112,2012,UKI5,2013,0.0
113,2014,UKI5,2013,0.0
114,2015,UKI5,2013,1378000.0
115,2016,UKI5,2013,1342000.0
116,2012,UKI6,2013,0.0
117,2014,UKI6,2013,73192000.0
118,2015,UKI6,2013,37200000.0
119,2016,UKI6,2013,36364000.0
120,2012,UKI7,2013,6413000.0
121,2014,UKI7,2013,0.0
122,2015,UKI7,2013,65858000.00000001
123,2016,UKI7,2013,64186000.00000001
124,2012,UKG2,2013,1480000.0
125,2014,UKG2,2013,248000.0
126,2012,UKM3,2013,247000.0
