year,nuts_id,nuts_year_spec,eurostat_higher_ed_rd_workforce_data
2012,UKH2,2013,115057000.0
2014,UKH2,2013,106314000.0
2012,UKJ1,2013,921815000.0
2014,UKJ1,2013,1069470000.0
2013,UKJ1,2013,961969000.0
2015,UKJ1,2013,1178424000.0
2016,UKJ1,2013,1140818000.0
2012,UKD6,2013,617000.0
2014,UKD6,2013,1861000.0
2015,UKD6,2013,3169000.0
2016,UKD6,2013,1952000.0
2012,UKK3,2013,493000.0
2014,UKK3,2013,1489000.0
2013,UKK3,2013,1177000.0
2015,UKK3,2013,1653000.0
2016,UKK3,2013,1708000.0
2012,UKD1,2013,987000.0
2014,UKD1,2013,620000.0
2015,UKD1,2013,689000.0
2016,UKD1,2013,610000.0
2012,UKF1,2013,198668000.0
2014,UKF1,2013,202332000.0
2015,UKF1,2013,248553000.0
2016,UKF1,2013,231361000.0
2012,UKK4,2013,112838000.0
2014,UKK4,2013,130381000.0
2013,UKK4,2013,117862000.0
2015,UKK4,2013,142877000.0
2016,UKK4,2013,145821000.0
2012,UKK2,2013,8138999.999999999
2014,UKK2,2013,8560000.0
2015,UKK2,2013,10058000.0
2016,UKK2,2013,9518000.0
2012,UKH1,2013,649525000.0
2014,UKH1,2013,799281000.0
2013,UKH1,2013,724479000.0
2012,UKE1,2013,19361000.0
2014,UKE1,2013,18980000.0
2015,UKE1,2013,20116000.0
2016,UKE1,2013,18304000.0
2012,UKL2,2013,173388000.0
2014,UKL2,2013,179010000.0
2012,UKM2,2013,119250000.0
2014,UKM2,2013,756482000.0
2013,UKM2,2013,724126000.0
2015,UKM2,2013,871728000.0
2016,UKM2,2013,730079000.0
2012,UKH3,2013,56234000.0
2014,UKH3,2013,52227000.0
2012,UKK1,2013,272783000.0
2014,UKK1,2013,304925000.0
2015,UKK1,2013,356297000.0
2016,UKK1,2013,341794000.0
2012,UKD3,2013,377359000.0
2014,UKD3,2013,408882000.0
2015,UKD3,2013,466795000.0
2016,UKD3,2013,405003000.0
2012,UKJ3,2013,173634000.0
2014,UKJ3,2013,193524000.0
2015,UKJ3,2013,208184000.0
2016,UKJ3,2013,196217000.0
2012,UKG1,2013,493000.0
2014,UKG1,2013,3474000.0
2012,UKM6,2013,44888000.0
2014,UKM6,2013,31386000.0
2015,UKM6,2013,34031000.0
2016,UKM6,2013,29408000.0
2012,UKI4,2013,193119000.0
2014,UKI4,2013,211512000.0
2013,UKI4,2013,193689000.0
2015,UKI4,2013,243593000.0
2016,UKI4,2013,205369000.0
2012,UKI3,2013,2031693000.0
2014,UKI3,2013,2224910000.0
2013,UKI3,2013,2037443000.0
2015,UKI3,2013,2487049000.0
2016,UKI3,2013,2088103000.0
2012,UKJ4,2013,20841000.0
2014,UKJ4,2013,24439000.0
2015,UKJ4,2013,32378000.0
2016,UKJ4,2013,31605000.0
2012,UKD4,2013,67826000.0
2014,UKD4,2013,74433000.0
2015,UKD4,2013,87490000.0
2016,UKD4,2013,78218000.0
2012,UKF2,2013,182267000.0
2014,UKF2,2013,175040000.0
2013,UKF2,2013,166372000.0
2015,UKF2,2013,183659000.0
2016,UKF2,2013,172056000.0
2012,UKF3,2013,6536000.0
2014,UKF3,2013,11661000.0
2015,UKF3,2013,14054000.0
2016,UKF3,2013,16718000.0
2012,UKD7,2013,262301000.0
2014,UKD7,2013,264607000.00000003
2015,UKD7,2013,308349000.0
2016,UKD7,2013,312020000.0
2012,UKM5,2013,375509000.0
2014,UKM5,2013,113510000.0
2013,UKM5,2013,122101000.0
2015,UKM5,2013,123450000.0
2016,UKM5,2013,95546000.0
2012,UKE2,2013,74855000.0
2014,UKE2,2013,84233000.0
2013,UKE2,2013,79477000.0
2015,UKE2,2013,94792000.0
2016,UKE2,2013,87492000.0
2012,UKN0,2013,162659000.0
2014,UKN0,2013,164372000.0
2012,UKC2,2013,182883000.0
2014,UKC2,2013,204937000.0
2015,UKC2,2013,241389000.0
2016,UKC2,2013,209518000.0
2012,UKI5,2013,27254000.0
2014,UKI5,2013,31138000.0
2013,UKI5,2013,29083000.0
2015,UKI5,2013,38027000.0
2016,UKI5,2013,27578000.0
2012,UKI6,2013,5549000.0
2014,UKI6,2013,6327000.0
2013,UKI6,2013,6005000.0
2015,UKI6,2013,9507000.0
2016,UKI6,2013,7932000.0
2012,UKI7,2013,41312000.0
2014,UKI7,2013,47141000.0
2013,UKI7,2013,44036000.0
2015,UKI7,2013,46294000.0
2016,UKI7,2013,42465000.0
2012,UKG2,2013,34776000.0
2014,UKG2,2013,40938000.0
2012,UKM3,2013,664570000.0
2014,UKM3,2013,429227000.0
2015,UKM3,2013,496142000.0
2016,UKM3,2013,439536000.0
2012,UKE3,2013,210630000.0
2014,UKE3,2013,225530000.0
2013,UKE3,2013,205228000.0
2015,UKE3,2013,251309000.0
2016,UKE3,2013,249054000.0
2012,UKJ2,2013,138735000.0
2014,UKJ2,2013,162883000.0
2013,UKJ2,2013,132344000.0
2015,UKJ2,2013,180353000.0
2016,UKJ2,2013,179744000.0
2012,UKC1,2013,85461000.0
2014,UKC1,2013,89319000.0
2015,UKC1,2013,94654000.0
2016,UKC1,2013,84686000.0
2012,UKG3,2013,402269000.0
2014,UKG3,2013,442873000.0
2012,UKL1,2013,155876000.0
2014,UKL1,2013,162635000.0
2012,UKE4,2013,321371000.0
2014,UKE4,2013,325146000.0
2015,UKE4,2013,332323000.0
2016,UKE4,2013,292862000.0
