,year,nuts_id,nuts_year_spec,eurostat_berd_data
0,2012,UKH2,2013,1389814000.0
1,2013,UKH2,2013,1972330000.0
2,2014,UKH2,2013,1874209000.0
3,2015,UKH2,2013,2144530000.0000002
4,2016,UKH2,2013,2099572999.9999998
5,2012,UKJ1,2013,2084967000.0
6,2013,UKJ1,2013,2174026000.0
7,2014,UKJ1,2013,2594715000.0
8,2015,UKJ1,2013,2984844000.0
9,2016,UKJ1,2013,2794143000.0
10,2012,UKD6,2013,1296831000.0
11,2013,UKD6,2013,1245967000.0
12,2014,UKD6,2013,1185833000.0
13,2015,UKD6,2013,1605125000.0
14,2016,UKD6,2013,1399146000.0
15,2012,UKK3,2013,23801000.0
16,2013,UKK3,2013,22607000.0
17,2014,UKK3,2013,29029000.0
18,2015,UKK3,2013,34720000.0
19,2016,UKK3,2013,32093000.000000004
20,2012,UKD1,2013,90640000.0
21,2013,UKD1,2013,76180000.0
22,2014,UKD1,2013,133978000.00000001
23,2015,UKD1,2013,183935000.0
24,2016,UKD1,2013,163392000.0
25,2012,UKF1,2013,1066839000.0
26,2013,UKF1,2013,1139527000.0
27,2014,UKF1,2013,1314353000.0
28,2015,UKF1,2013,1536925000.0
29,2016,UKF1,2013,1468334000.0
30,2012,UKK4,2013,58824000.0
31,2013,UKK4,2013,97610000.0
32,2014,UKK4,2013,123558000.0
33,2015,UKK4,2013,166162000.0
34,2016,UKK4,2013,150336000.0
35,2012,UKK2,2013,231841000.0
36,2013,UKK2,2013,257742000.00000003
37,2014,UKK2,2013,281975000.0
38,2015,UKK2,2013,316065000.0
39,2016,UKK2,2013,273948000.0
40,2012,UKH1,2013,2197558000.0
41,2013,UKH1,2013,2166490000.0
42,2014,UKH1,2013,2630815000.0
43,2015,UKH1,2013,2759851000.0
44,2016,UKH1,2013,2441367000.0
45,2012,UKE1,2013,127759000.0
46,2013,UKE1,2013,0.0
47,2014,UKE1,2013,158417000.0
48,2015,UKE1,2013,199780000.0
49,2016,UKE1,2013,186089000.0
50,2012,UKL2,2013,260204999.99999997
51,2013,UKL2,2013,359473000.0
52,2014,UKL2,2013,306910000.0
53,2015,UKL2,2013,269909000.0
54,2016,UKL2,2013,306650000.0
55,2012,UKM2,2013,475644000.0
56,2013,UKM2,2013,487931000.0
57,2014,UKM2,2013,563330000.0
58,2015,UKM2,2013,659961000.0
59,2016,UKM2,2013,674192000.0
60,2012,UKH3,2013,666543000.0
61,2013,UKH3,2013,654539000.0
62,2014,UKH3,2013,744076000.0
63,2015,UKH3,2013,852577000.0
64,2016,UKH3,2013,819402000.0
65,2012,UKK1,2013,1367370000.0
66,2013,UKK1,2013,1332274000.0
67,2014,UKK1,2013,1570649000.0
68,2015,UKK1,2013,1511022000.0
69,2016,UKK1,2013,1374497000.0
70,2012,UKD3,2013,296584000.0
71,2013,UKD3,2013,243259000.0
72,2014,UKD3,2013,303560000.0
73,2015,UKD3,2013,395977000.0
74,2016,UKD3,2013,405125000.0
75,2012,UKJ3,2013,1087310000.0
76,2013,UKJ3,2013,1172731000.0
77,2014,UKJ3,2013,1173800000.0
78,2015,UKJ3,2013,1362910000.0
79,2016,UKJ3,2013,1064551999.9999999
80,2012,UKG1,2013,1015415000.0
81,2013,UKG1,2013,987755000.0
82,2014,UKG1,2013,1283588000.0
83,2015,UKG1,2013,1613943000.0
84,2016,UKG1,2013,1384747000.0
85,2012,UKM6,2013,54137000.0
86,2013,UKM6,2013,45567000.0
87,2014,UKM6,2013,39697000.0
88,2015,UKM6,2013,42987000.0
89,2016,UKM6,2013,41245000.0
90,2012,UKI4,2013,141201000.0
91,2013,UKI4,2013,238078000.0
92,2014,UKI4,2013,385684000.0
93,2015,UKI4,2013,456600000.0
94,2016,UKI4,2013,407688000.0
95,2012,UKI3,2013,914169000.0
96,2013,UKI3,2013,878017000.0
97,2014,UKI3,2013,1174916000.0
98,2015,UKI3,2013,1240011000.0
99,2016,UKI3,2013,1028675999.9999999
100,2012,UKJ4,2013,677519000.0
101,2013,UKJ4,2013,445661000.0
102,2014,UKJ4,2013,509614000.0
103,2015,UKJ4,2013,612841000.0
104,2016,UKJ4,2013,580476000.0
105,2012,UKD4,2013,247503000.0
106,2013,UKD4,2013,239727000.0
107,2014,UKD4,2013,265476000.0
108,2015,UKD4,2013,317030000.0
109,2016,UKD4,2013,353386000.0
110,2012,UKF2,2013,372672000.0
111,2013,UKF2,2013,424350000.0
112,2014,UKF2,2013,460365000.0
113,2015,UKF2,2013,491458000.0
114,2016,UKF2,2013,485296000.0
115,2012,UKF3,2013,43532000.0
116,2013,UKF3,2013,48157000.0
117,2014,UKF3,2013,54088000.0
118,2015,UKF3,2013,59107000.0
119,2016,UKF3,2013,66016000.00000001
120,2012,UKD7,2013,268096999.99999997
121,2013,UKD7,2013,295184000.0
122,2014,UKD7,2013,341645000.0
123,2015,UKD7,2013,409755000.0
124,2016,UKD7,2013,541184000.0
125,2012,UKM5,2013,105808000.0
126,2013,UKM5,2013,114683000.0
127,2014,UKM5,2013,249597000.0
128,2015,UKM5,2013,183384000.0
129,2016,UKM5,2013,236486000.0
130,2012,UKE2,2013,231348000.0
131,2013,UKE2,2013,312846000.0
132,2014,UKE2,2013,193773000.0
133,2015,UKE2,2013,297465000.0
134,2016,UKE2,2013,234411000.0
135,2012,UKN0,2013,517820000.00000006
136,2013,UKN0,2013,521842000.0
137,2014,UKN0,2013,436794000.0
138,2015,UKN0,2013,690962000.0
139,2016,UKN0,2013,586699000.0
140,2012,UKC2,2013,204834000.0
141,2013,UKC2,2013,207112000.0
142,2014,UKC2,2013,200968000.0
143,2015,UKC2,2013,246624000.0
144,2016,UKC2,2013,249176000.0
145,2012,UKI5,2013,50808000.0
146,2013,UKI5,2013,42270000.0
147,2014,UKI5,2013,48009000.0
148,2015,UKI5,2013,65032000.0
149,2016,UKI5,2013,67968000.0
150,2012,UKI6,2013,94340000.0
151,2013,UKI6,2013,95137000.0
152,2014,UKI6,2013,104081000.0
153,2015,UKI6,2013,71645000.0
154,2016,UKI6,2013,75778000.0
155,2012,UKI7,2013,621285000.0
156,2013,UKI7,2013,296715000.0
157,2014,UKI7,2013,552785000.0
158,2015,UKI7,2013,801598000.0
159,2016,UKI7,2013,1221355000.0
160,2012,UKG2,2013,191762000.0
161,2013,UKG2,2013,209349000.0
162,2014,UKG2,2013,220940000.0
163,2015,UKG2,2013,267428999.99999997
164,2016,UKG2,2013,289567000.0
165,2012,UKM3,2013,236034000.0
166,2013,UKM3,2013,291063000.0
167,2014,UKM3,2013,270438000.0
168,2015,UKM3,2013,313585000.0
169,2016,UKM3,2013,356315000.0
170,2012,UKE3,2013,107782000.0
171,2013,UKE3,2013,102320000.0
172,2014,UKE3,2013,117727000.0
173,2015,UKE3,2013,158584000.0
174,2016,UKE3,2013,124954000.0
175,2012,UKJ2,2013,1189419000.0
176,2013,UKJ2,2013,1146709000.0
177,2014,UKJ2,2013,1186701000.0
178,2015,UKJ2,2013,1526867000.0
