,year,nuts_id,nuts_year_spec,eurostat_gov_rd_workforce_data
0,2012,UKH2,2013,9989000.0
1,2013,UKH2,2013,8242000.000000001
2,2014,UKH2,2013,9180000.0
3,2015,UKH2,2013,53458000.0
4,2016,UKH2,2013,51983000.0
5,2012,UKJ1,2013,378838000.0
6,2013,UKJ1,2013,395149000.0
7,2014,UKJ1,2013,422652000.0
8,2015,UKJ1,2013,541747000.0
9,2016,UKJ1,2013,506650000.0
10,2012,UKD6,2013,40696000.0
11,2013,UKD6,2013,41328000.0
12,2014,UKD6,2013,46768000.0
13,2015,UKD6,2013,110637000.0
14,2016,UKD6,2013,111409000.0
15,2012,UKK3,2013,0.0
16,2013,UKK3,2013,0.0
17,2014,UKK3,2013,372000.0
18,2015,UKK3,2013,19427000.0
19,2016,UKK3,2013,16474000.0
20,2012,UKD1,2013,493000.0
21,2013,UKD1,2013,824000.0
22,2014,UKD1,2013,1117000.0
23,2015,UKD1,2013,30449000.0
24,2016,UKD1,2013,28310000.0
25,2012,UKF1,2013,85091000.0
26,2013,UKF1,2013,83127000.0
27,2014,UKF1,2013,86342000.0
28,2015,UKF1,2013,58556000.0
29,2016,UKF1,2013,49664000.0
30,2012,UKK4,2013,8756000.0
31,2013,UKK4,2013,1177000.0
32,2014,UKK4,2013,1117000.0
33,2015,UKK4,2013,55112000.0
34,2016,UKK4,2013,53813000.0
35,2012,UKK2,2013,5673000.0
36,2013,UKK2,2013,6005000.0
37,2014,UKK2,2013,5707000.0
38,2015,UKK2,2013,22734000.0
39,2016,UKK2,2013,19890000.0
40,2012,UKH1,2013,245160000.0
41,2013,UKH1,2013,241729000.0
42,2014,UKH1,2013,253070000.0
43,2015,UKH1,2013,257647000.0
44,2016,UKH1,2013,220012000.0
45,2012,UKE1,2013,0.0
46,2013,UKE1,2013,0.0
47,2014,UKE1,2013,0.0
48,2015,UKE1,2013,0.0
49,2016,UKE1,2013,122000.0
50,2012,UKL2,2013,26637000.0
51,2013,UKL2,2013,27434000.0
52,2014,UKL2,2013,27168000.0
53,2015,UKL2,2013,17085000.0
54,2016,UKL2,2013,17816000.0
55,2012,UKM2,2013,136762000.0
56,2013,UKM2,2013,148122000.0
57,2014,UKM2,2013,152090000.0
58,2015,UKM2,2013,101957000.0
59,2016,UKM2,2013,133008000.00000001
60,2012,UKH3,2013,0.0
61,2013,UKH3,2013,0.0
62,2014,UKH3,2013,124000.0
63,2015,UKH3,2013,0.0
64,2016,UKH3,2013,0.0
65,2012,UKK1,2013,411765000.0
66,2013,UKK1,2013,414930000.0
67,2014,UKK1,2013,430468000.0
68,2015,UKK1,2013,199917000.0
69,2016,UKK1,2013,188774000.0
70,2012,UKD3,2013,12579000.0
71,2013,UKD3,2013,13423000.0
72,2014,UKD3,2013,16126999.999999998
73,2015,UKD3,2013,28934000.0
74,2016,UKD3,2013,27212000.0
75,2012,UKJ3,2013,295228000.0
76,2013,UKJ3,2013,313906000.0
77,2014,UKJ3,2013,335690000.0
78,2015,UKJ3,2013,130062999.99999999
79,2016,UKJ3,2013,103722000.0
80,2012,UKG1,2013,493000.0
81,2013,UKG1,2013,824000.0
82,2014,UKG1,2013,496000.0
83,2015,UKG1,2013,551000.0
84,2016,UKG1,2013,366000.0
85,2012,UKM6,2013,2220000.0
86,2013,UKM6,2013,3415000.0
87,2014,UKM6,2013,3474000.0
88,2015,UKM6,2013,2342000.0
89,2016,UKM6,2013,1830000.0
90,2012,UKI4,2013,62153000.0
91,2013,UKI4,2013,60285000.0
92,2014,UKI4,2013,62771000.0
93,2015,UKI4,2013,77432000.0
94,2016,UKI4,2013,66138000.00000001
95,2012,UKI3,2013,230608000.0
96,2013,UKI3,2013,223596000.0
97,2014,UKI3,2013,232726000.0
98,2015,UKI3,2013,287407000.0
99,2016,UKI3,2013,291031000.0
100,2012,UKJ4,2013,139968000.0
101,2013,UKJ4,2013,116684000.0
102,2014,UKJ4,2013,117231000.0
103,2015,UKJ4,2013,87765000.0
104,2016,UKJ4,2013,75900000.0
105,2012,UKD4,2013,16648000.0
106,2013,UKD4,2013,16366000.0
107,2014,UKD4,2013,17368000.0
108,2015,UKD4,2013,18049000.0
109,2016,UKD4,2013,15985000.0
110,2012,UKF2,2013,15908000.0
111,2013,UKF2,2013,17426000.0
112,2014,UKF2,2013,19973000.0
113,2015,UKF2,2013,44227000.0
114,2016,UKF2,2013,39414000.0
115,2012,UKF3,2013,3453000.0
116,2013,UKF3,2013,1648000.0
117,2014,UKF3,2013,1241000.0
118,2015,UKF3,2013,551000.0
119,2016,UKF3,2013,366000.0
120,2012,UKD7,2013,22444000.0
121,2013,UKD7,2013,27081000.0
122,2014,UKD7,2013,26300000.0
123,2015,UKD7,2013,18876000.0
124,2016,UKD7,2013,16718000.0
125,2012,UKM5,2013,116167000.0
126,2013,UKM5,2013,94549000.0
127,2014,UKM5,2013,139933000.0
128,2015,UKM5,2013,77983000.0
129,2016,UKM5,2013,33801000.0
130,2012,UKE2,2013,60303000.0
131,2013,UKE2,2013,73119000.0
132,2014,UKE2,2013,72200000.0
133,2015,UKE2,2013,51254000.0
134,2016,UKE2,2013,45516000.0
135,2012,UKN0,2013,25281000.0
136,2013,UKN0,2013,27199000.0
137,2014,UKN0,2013,21958000.0
138,2015,UKN0,2013,16120000.000000002
139,2016,UKN0,2013,16840000.0
140,2012,UKC2,2013,247000.0
141,2013,UKC2,2013,589000.0
142,2014,UKC2,2013,496000.0
143,2015,UKC2,2013,64756000.0
144,2016,UKC2,2013,57230000.0
145,2012,UKI5,2013,36009000.0
146,2013,UKI5,2013,37443000.0
147,2014,UKI5,2013,40070000.0
148,2015,UKI5,2013,76743000.0
149,2016,UKI5,2013,61379000.0
150,2012,UKI6,2013,33543000.0
151,2013,UKI6,2013,34735000.0
152,2014,UKI6,2013,37340000.0
153,2015,UKI6,2013,71370000.0
154,2016,UKI6,2013,63331000.0
155,2012,UKI7,2013,36626000.0
156,2013,UKI7,2013,38149000.0
157,2014,UKI7,2013,40814000.0
158,2015,UKI7,2013,78121000.0
159,2016,UKI7,2013,68700000.0
160,2012,UKG2,2013,0.0
161,2013,UKG2,2013,118000.0
162,2014,UKG2,2013,620000.0
163,2015,UKG2,2013,276000.0
164,2016,UKG2,2013,366000.0
165,2012,UKM3,2013,32433000.0
166,2013,UKM3,2013,16837000.0
167,2014,UKM3,2013,17616000.0
168,2015,UKM3,2013,31689000.0
169,2016,UKM3,2013,29774000.0
170,2012,UKE3,2013,9372000.0
171,2013,UKE3,2013,10715000.0
172,2014,UKE3,2013,13398000.0
173,2015,UKE3,2013,50978000.0
174,2016,UKE3,2013,48322000.0
175,2012,UKJ2,2013,163645000.0
176,2013,UKJ2,2013,171435000.0
177,2014,UKJ2,2013,83737000.0
178,2015,UKJ2,2013,55801000.0
179,2016,UKJ2,2013,53447000.0
180,2012,UKC1,2013,123000.0
181,2013,UKC1,2013,118000.0
182,2014,UKC1,2013,372000.0
183,2015,UKC1,2013,276000.0
184,2016,UKC1,2013,122000.0
185,2012,UKG3,2013,2096000.0
186,2013,UKG3,2013,3415000.0
187,2014,UKG3,2013,3101000.0
188,2015,UKG3,2013,98099000.0
189,2016,UKG3,2013,86394000.0
190,2012,UKL1,2013,11099000.0
191,2013,UKL1,2013,11774000.0
192,2014,UKL1,2013,13646000.0
193,2015,UKL1,2013,551000.0
194,2016,UKL1,2013,854000.0
195,2012,UKE4,2013,1357000.0
196,2013,UKE4,2013,2826000.0
197,2014,UKE4,2013,1737000.0
198,2015,UKE4,2013,50152000.0
199,2016,UKE4,2013,46980000.0
