year,nuts_id,nuts_year_spec,economic_complexity_index
2018,UKC1,2013,-0.133
2018,UKC2,2013,-0.069
2018,UKD1,2013,-0.092
2018,UKD3,2013,0.025
2018,UKD4,2013,-0.095
2018,UKD6,2013,0.052
2018,UKD7,2013,-0.073
2018,UKE1,2013,-0.179
2018,UKE2,2013,-0.02
2018,UKE3,2013,-0.098
2018,UKE4,2013,-0.049
2018,UKF1,2013,-0.13
2018,UKF2,2013,-0.065
2018,UKF3,2013,-0.124
2018,UKG1,2013,-0.08
2018,UKG2,2013,-0.138
2018,UKG3,2013,-0.059
2018,UKH1,2013,-0.03
2018,UKH2,2013,0.147
2018,UKH3,2013,0.047
2018,UKI3,2013,0.507
2018,UKI4,2013,0.484
2018,UKI5,2013,0.126
2018,UKI6,2013,0.243
2018,UKI7,2013,0.295
2018,UKJ1,2013,0.225
2018,UKJ2,2013,0.2
2018,UKJ3,2013,0.032
2018,UKJ4,2013,0.012
2018,UKK1,2013,0.08
2018,UKK2,2013,-0.046
2018,UKK3,2013,-0.047
2018,UKK4,2013,-0.053
2018,UKL1,2013,-0.162
2018,UKL2,2013,-0.036
2018,UKM2,2013,-0.049
2018,UKM3,2013,-0.036
2018,UKM5,2013,-0.131
2018,UKM6,2013,-0.098
2018,UKC1,2013,-0.134
2018,UKC2,2013,-0.025
2018,UKD1,2013,-0.107
2018,UKD3,2013,0.152
2018,UKD4,2013,-0.071
2018,UKD6,2013,0.074
2018,UKD7,2013,-0.036
2018,UKE1,2013,-0.167
2018,UKE2,2013,-0.019
2018,UKE3,2013,-0.101
2018,UKE4,2013,-0.089
2018,UKF1,2013,-0.16
2018,UKF2,2013,-0.066
2018,UKF3,2013,-0.16
2018,UKG1,2013,-0.1
2018,UKG2,2013,-0.141
2018,UKG3,2013,-0.119
2018,UKH1,2013,-0.018
2018,UKH2,2013,0.16
2018,UKH3,2013,0.082
2018,UKI3,2013,0.417
2018,UKI4,2013,0.444
2018,UKI5,2013,0.034
2018,UKI6,2013,0.271
2018,UKI7,2013,0.389
2018,UKJ1,2013,0.243
2018,UKJ2,2013,0.185
2018,UKJ3,2013,0.065
2018,UKJ4,2013,-0.035
2018,UKK1,2013,0.056
2018,UKK2,2013,-0.089
2018,UKK3,2013,-0.024
2018,UKK4,2013,-0.052
2018,UKL1,2013,-0.147
2018,UKL2,2013,-0.041
2018,UKM2,2013,-0.003
2018,UKM3,2013,-0.001
2018,UKM5,2013,-0.117
2018,UKM6,2013,-0.097
